Match,Match-href,Home,Away,Score,Date/Time,element
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23172","Oyonnax","Connacht","15 - 43","KO: 14 Oct 2017 19:00","ConnachtMinutes PlayedTacklesMissed TacklesTurnovers Won1. Denis Coulson 7515202. Tom McCartney 6412003. Finlay Bealham 755104. Ultan Dillane 6412005. James Cannon 8017116. Eoghan Masterson 8011107. Eoin McKeon 8012008. John Muldoon 6911019. Caolin Blade 8021010. Andrew Deegan 8032011. Matt Healy 8020012. Thomas Farrell 8063013. Eoin Griffin 8070014. Cian Kelleher 6840015. Darragh Leader 8020016. Shane Delahunt 1651017. Peter McCabe 500018. Conor Carey 500019. Quinn Roux 1680020. James Connolly 1120021. Kieran Marmion 000022. Craig Ronaldson 040023. Rory Scholes 12100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23164","Pau","Gloucester","27 - 21","KO: 12 Oct 2017 19:45","GloucesterMinutes PlayedTacklesMissed TacklesTurnovers Won1. Paddy McAllister449102. Motu Matu'u443003. Josh Hohneck616004. Tom Savage7618015. Tom Denton286106. Jake Polledri784107. Jacob Rowan8014118. Freddie Clarke8015019. Callum Braley5151010. Owen Williams8053011. David Halaifonua8051212. Mark Atkinson80101113. Billy Twelvetrees74112114. Henry Purdy8071015. Tom Hudson4920016. James Hanson3980017. Val Rapava Ruskin2260118. Gareth Denman3960019. Ruan Ackermann5550020. Lewis Ludlow1200021. Ben Vellacott3210022. Billy Burns3400023. Henry Trinder9000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23176","Lyon","Sale","27 - 24","KO: 20 Oct 2017 18:30","SaleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Ross Harrison 8012212. Rob Webber 6515113. Will John 687014. Bryn Evans 8013105. Andrei Ostrikov 7621216. Cameron Neild 6711217. Ben Curry 8017208. Sam Moore 6515019. Faf de Klerk 8032010. James O'Connor 80143011. Josh Charnley 8042012. Mark Jennings 8071013. Sam James 8022014. Denny Solomona 8051015. Mike Haley 8051016. Marc Jones 1550017. James Flynn 000018. Alexandru Tarus 1200019. George Nott 400020. Laurence Pearce 1510021. David Seymour 1310022. Will Cliff 000023. Arron Reed 0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23177","Toulouse","Cardiff Blues","15 - 17","KO: 20 Oct 2017 20:00","Cardiff BluesMinutes PlayedTacklesMissed TacklesTurnovers Won1. Corey Domachowski 4713302. Kristian Dacey 6215003. Taufa'ao Filise 405204. James Down 8017305. Damian Welch 476406. Macauley Cook 809007. Josh Navidi 8010218. Nick Williams 565319. Tomos Williams 8042010. Jarrod Evans 80123111. Blaine Scully 8020012. Garyn Smith 75101013. Rey Lee-Lo 6572014. Alex Cuthbert 7034015. Matthew Morgan 6230116. Ethan Lewis 1820017. Bradley Thyer 3361018. Dillon Lewis 4020019. Seb Davies 3370120. Olly Robinson 2421021. Lloyd Williams 000022. Steve Shingler 511023. Willis Halaholo 24301"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23179","Connacht","Worcester","15 - 8","KO: 21 Oct 2017 15:00","WorcesterMinutes PlayedTacklesMissed TacklesTurnovers Won1. Ethan Waller 646212. Jack Singleton 6912103. Gareth Milasinovich 547204. Pierce Phillips 6414105. Will Spencer 8023116. David Denton 8016127. Alafoti Fa'osiliva 8020428. Gerrit-Jan van Velze 5411209. Jonny Arr 5961010. Jono Lance 80121011. Josh Adams 8061212. Jackson Willison 80160113. Wynand Olivier 80123114. Tom Howe 5830015. Chris Pennell 8051016. Matt Williams 1120117. Ryan Bower 1660018. Simon Kerrod 2630119. Donncha O'Callaghan 1631020. Huw Taylor 2680021. Michael Dowsett 2112022. Sam Olver 000023. Perry Humphreys 22000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23171","Worcester","Brive","30 - 20","KO: 14 Oct 2017 15:00","BriveMinutes PlayedTacklesMissed TacklesTurnovers Won1. Vivien Devisme 4710102. Thomas Acquier 474003. Soso Bekoshvili 475104. Jan Uys 8010105. Sisa Koyamaibole 554216. Said Hireche 806117. Peniami Narisia 8011018. Retief Marais 587109. Vasil Lobzhanidze 8092010. Matthieu Ugalde 55121111. Nadir Megdoud 8051012. Benjamin Petre 4102213. Felix Le Bourhis 6561014. Benito Masilevu 8042015. Guillaume Namy 8040016. Mike Tadjer 3320017. Julien Brugnaut 3331018. Damien Jourdain 3311019. James Johnston 2500020. Louis Martin 1210021. Florian Cazenave 2520022. Arnaud Mignardi 3942023. Franck Romanet 15000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23182","RC Enisei","Dragons","21 - 28","KO: 21 Oct 2017 13:00","DragonsMinutes PlayedTacklesMissed TacklesTurnovers Won1. Luke Garrett 452102. Elliott Dee 489103. Leon Brown 485004. Joseph Davies 8014105. Cory Hill 571206. Aaron Wainwright 8021207. Ollie Griffiths 245008. James Benjamin 8011009. Sarel Pretorius 5641110. Angus O'Brien 5642011. George Gasson 8020012. Pat Howard 8070313. Tyler Morgan 80102114. Jared Rosser 8061115. Hallam Amos 8020016. Gerard Ellis 3241017. Thomas Davies 3571018. Lloyd Fairbrother 3280019. Rynard Landman 2360020. James Thomas 56120021. Charlie Davies 2400022. Gavin Henson 2421023. Adam Warren 0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23181","Stade Francais","London Irish","7 - 44","KO: 21 Oct 2017 19:45","London IrishMinutes PlayedTacklesMissed TacklesTurnovers Won1. Harry Elrington 5313102. Tom Woolstencroft 7011223. Oli Hoskins 6412004. William Lloyd 7016015. Filo Paulo 8019116. Max Northcote-Green 7011107. Conor Gilsenan 8022208. Lasha Lomidze 7420219. Ben Meehan 4530010. Theo Brophy Clews 77161011. Topsy Ojo 8001012. Johnny Williams 61140113. Tom Fowlie 80120014. Joe Cokanasiga 8093015. Ben Ransom 8040016. Todd Gleave 1020017. Tom Smallbone 2751018. Lovejoy Chawatama 1620019. Joshua McNally 1010020. Isaac Curtis-Harris 1690121. Scott Steele 2510022. Jacob Atkins 320023. Fergus Mulchrone 19401"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23174","Gloucester","Agen","61 - 16","KO: 19 Oct 2017 19:45","AgenMinutes PlayedTacklesMissed TacklesTurnovers Won1. Meddih Ahaouche 7211002. Clement Martinez 6510003. Kamaliele Tufele 657304. Christiaan van der Merwe 808005. Corentin Braendlin 806106. Jessy Jegerlhener 538207. Yoan Tanga 809008. Leo Ghirard 547309. Hugo Verdu 6742010. Jeremy Russell 8080011. Branden Holder 8072112. Ryan Dubois 5644113. Alban Conduche 8081114. Lucas Tolot 4242115. Loris Tolot 8010016. Jordan Peyri 1510117. Oliver Butler 000018. Corentin Chabeaudie 2421019. Cedric Touchkaieff 2721020. Pierre Fouyssac 3160021. Florian Lanave 1330022. Clement Farah 800023. Valentin Saurs 38220"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23166","Agen","Zebre","45 - 10","KO: 13 Oct 2017 19:00","ZebreMinutes PlayedTacklesMissed TacklesTurnovers Won1. Andrea De Marchi 8013412. Luhandre Luus 807103. Eduardo Bello 547014. Leonard Krumov 407105. Valerio Bernabo 8011016. Jacopo Sarto 8011007. Johan Meyer 716008. Derick Minnie 403029. Guglielmo Palazzani 7192110. Serafin Bordoli 6965111. Giovanbattista Venditti 8022012. Faialaga Afamasaga 80120013. Matteo Pratichetti 4034014. Gabriele Di Giulio 8050015. Ciaran Gaffney 6130116. Oliviero Fabiani 000017. Andrea Lovotti 000018. Roberto Tenga 26101019. David Sisi 4090020. Giovanni Licata 4061021. Marcello Violi 000022. Maicol Azzolini 3111023. Tommaso Boni 40801"
