Match,Match-href,Home,Away,Score,Date/Time,element
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318057","Clermont Auvergne","Racing 92","23 - 21","KO: 23 Sep 2017 13:45","Clermont AuvergneMinutes PlayedTacklesMissed TacklesTurnovers Won1. Raphael Chaume 708002. Benjamin Kayser 546403. Rabah Slimani 544004. Flip van der Merwe 176005. Sebastien Vahaamahina 808006. Judicael Cancoriet 704007. Alexandre Lapandry 746108. Fritz Lee 708409. Morgan Parra 8042110. Camille Lopez 8091011. Remy Grosso 6922012. Remi Lamerat 8032113. Peter Betham 8041014. Alivereti Raka 4030015. Nick Abendanon 8063016. John Ulugia 2610017. Beqa Kakabadze 1000018. Paul Jedrasiak 6380019. Peceli Yato 620020. Greig Laidlaw 000021. Patricio Fernandez 4020122. Aurelien Rougerie 1100023. Davit Zirakashvili 26100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318034","La Rochelle","Clermont Auvergne","51 - 20","KO: 09 Sep 2017 13:45","La RochelleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mike Corbel515002. Hikairo Forbes635203. Uini Atonio513004. Jason Eaton808105. Jone Qovu Nailiko809006. Zeno Kieft583107. Levani Botia8011128. Victor Vito635019. Alexis Bales6331010. Ryan Lamb6640011. Elliot Roudil8042012. Pierre Aguillon5061013. Paul Jordaan8092014. Gabriel Lacroix8024015. Jeremy Sinzelle8042116. Pierre Bourgarit1740017. Dany Priso2962018. William Demotte1750019. Romain Sazy1520020. Jean Victor Goillot1720021. Steeve Barry1420022. Kini Murimurivalu3061223. Mohamed Boughanmi29300"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318055","Lyon","Castres","31 - 12","KO: 24 Sep 2017 11:30","LyonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Alexandre Menini 5212002. Mickael Ivaldi 524203. Clement Ric 445014. Etienne Oosthuizen 497015. Hendrik Roodt 8012036. Julien Puricelli 807407. Liam Gill 416008. Carl Fearns 617209. Baptiste Couilloud 8030010. Lionel Beauxis 7163011. Alexis Palisson 8062112. Thibault Regard 8060013. Theo Belan 6971014. Toby Arnold 8060315. Delon Armitage 8040116. Virgile Lacombe 2831017. Albertus Buckle 2832118. Josh Bekhuis 3164019. Taiasina Tuifua 1932020. Frederic Michalak 911021. Dylan Cretin 2960122. Mike Harris 1101023. Francisco Gomez Kodela 36801"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318044","Montpellier","Toulon","43 - 20","KO: 17 Sep 2017 15:50","MontpellierMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mikheil Nariashvili 803012. Bismarck Du Plessis 805133. Antoine Guillamon 594104. Jacques Du Plessis 515005. Paul Willemse 696016. Fulgence Ouedraogo 586007. Yacouba Camara 806018. Louis Picamoles 804009. Ruan Pienaar 8021010. Aaron Cruden 80101011. Nemani Nadolo 8022112. Francois Steyn 8060013. Henry Immelman 8030114. Timoci Nagusa 8011115. Benjamin Fall 6601016. Charles Geli 1100117. Yvan Watremez 000018. Konstantin Mikautadze 2931019. Julien Bardy 2230020. Enzo Sanga 000021. Joseph Tomane 1400022. Joffrey Michel 000023. Mohammed Haouas 21100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318073","Brive","Castres","27 - 22","KO: 07 Oct 2017 17:45","BriveMinutes PlayedTacklesMissed TacklesTurnovers Won1. Naama Leleimalefaga 485002. Mike Tadjer 486003. Sila Puafisi 484004. Julien Ledevedec 806105. Peet Marais 543006. Said Hireche 8012137. Etienne Herjean 134018. Sisa Koyamaibole 636009. Samuel Marques 7454110. Matthieu Ugalde 8081111. Guillaume Namy 8061112. Poutasi Luafutu 8071013. Arnaud Mignardi 8063214. Takudzwa Ngwenya 7621015. Benjamin Lapeyre 8012016. Thomas Acquier 3251017. Karlen Asieshvili 3241118. Jan Uys 2631019. Retief Marais 67150120. Vasil Lobzhanidze 610021. Nadir Megdoud 400022. Benjamin Petre 1721023. James Johnston 32400"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318074","La Rochelle","Racing 92","16 - 9","KO: 08 Oct 2017 15:50","La RochelleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mike Corbel 413302. Jean Charles Orioli 415003. Uini Atonio 647104. Romain Sazy 8015115. Jone Qovu Nailiko 808016. Gregory Lamboley 494007. Kevin Gourdon 6014118. Victor Vito 8012119. Alexis Bales 6473010. Brock James 3011011. Jeremy Sinzelle 80100112. Pierre Aguillon 6191013. Geoffrey Doumayrou 80120114. Gabriel Lacroix 8020015. Kini Murimurivalu 8011016. Pierre Bourgarit 3970017. Dany Priso 3990018. Jason Eaton 3140019. Afaesetiti Amosa 2040020. Jean Victor Goillot 1610021. Paul Jordaan 1920022. Vincent Rattez 5021023. Vincent Pelo 16100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318087","Toulon","Brive","41 - 24","KO: 28 Oct 2017 13:45","ToulonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Florian Fresia 522002. Anthony Etrillard 529003. Marcel Van der Merwe 568004. Mamuka Gorgodze 808005. Juandre Kruger 8011006. Raphael Lakafia 716007. Facundo Isa 717108. Samu Manoa 527009. Anthony Meric 5900010. Francois Trinh-Duc 7421011. Chris Ashton 8001012. Anthony Belleau 4000013. Semi Radradra 8040014. Josua Tuisova 8021015. Hugo Bonneval 8021016. Guilhem Guirado 2830017. Xavier Chiocci 2821018. Duane Vermeulen 2822019. Juan Martin Fernandez Lobbe 941020. Mathieu Bastareaud 600021. Ma'a Nonu 3430022. Alby Mathewson 2121023. Emerick Setiano 23200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318061","Castres","Clermont Auvergne","29 - 23","KO: 01 Oct 2017 15:50","CastresMinutes PlayedTacklesMissed TacklesTurnovers Won1. Antoine Tichit 576102. Jody Jenneker 708103. Daniel Kotze 757104. Loic Jacquet 8017105. Victor Moreaux 472206. Alexandre Bias 649217. Anthony Jelonch 8013018. Maama Vaipulu 408109. Ludovic Radosavljevic 5962010. Benjamin Urdapilleta 8095011. David Smith 8041012. Florian Vialelle 6161113. Robert Ebersohn 80122114. Julien Caminati 8071215. Julien Dumora 8012016. Kevin Firmin 1031017. Tudor Stroe 2332018. Christophe Samson 3390019. Steve Mafi 1620020. Alex Tulou 4070021. Yohan Domenech 2140022. Thomas Combezou 1920023. Damien Tussac 5200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318017","Toulon","Pau","41 - 14","KO: 27 Aug 2017 16:00","ToulonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Florian Fresia 527012. Anthony Etrillard 687113. Marcel Van der Merwe 555104. Mamuka Gorgodze 806325. Swan Rebbadj 805106. Jean Monribot 665007. Facundo Isa 8010218. Samu Manoa 493009. Eric Escande 5331010. Anthony Belleau 7272111. Vincent Clerc 8010012. Ma'a Nonu 6081113. Mathieu Bastareaud 8010014. Chris Ashton 8033115. Hugo Bonneval 8010016. Bastien Soury 1220017. Laurent DelBoulbes 2831018. Jocelino Suta 2550019. Rudy Gahetau 2020020. Luke McAlister 831021. JP Pietersen 2010022. Sebastien Tillous-Borde 2742023. Emerick Setiano 25300"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318016","Racing 92","Castres","25 - 21","KO: 26 Aug 2017 17:00","Racing 92Minutes PlayedTacklesMissed TacklesTurnovers Won1. Vasil Kakovin 505202. Dimitri Szarzewski 5710403. Cedate Gomes Sa 504204. Boris Palu 8013105. Edwin Maka 507106. Wenceslas Lauret 8013207. Baptiste Chouzenoux 8015208. So'otala Fa'aso'o 572109. Xavier Chauveau 4070010. Remi Tales 4022011. Juan Imhoff 8012012. Dan Carter 8083013. Anthony Tuitavake 7071014. Joe Rokocoko 8091115. Louis Dupichot 8010016. Teddy Baubigny 2270017. Georges-Henri Colombe 3061018. Leone Nakarawa 3011119. Yannick Nyanga 2330020. Teddy Iribaren 4000021. Albert Vulivuli 4041022. Teddy Thomas 1011023. Census Johnston 30220"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318071","Agen","Lyon","6 - 25","KO: 07 Oct 2017 19:45","AgenMinutes PlayedTacklesMissed TacklesTurnovers Won1. Quentin Bethune 459002. Facundo Bosch 4813103. Dave Ryan 5510204. Denis Marchois 8014205. Mickael De Marco 407006. Antoine Erbani 8013117. Vincent Farre 5518008. Akapusi Qera 809109. Ricky Januarie 7082010. Jake McIntyre 8062011. Filipo Nakosi 8010012. Julien Heriteau 80110013. Johann Sadie 6851014. Tamaz Mchedlidze 5441015. Mathieu Lamoulie 8040216. Paula Ngauamo 3230017. Giorgi Tetrashvili 3460118. Tom Murday 4080019. Yoan Tanga 1620020. Lucas Rubio 1000021. Clement Laporte 1200022. George Tilsley 2620023. Arthur Joly 25320"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318011","Bordeaux Begles","Clermont Auvergne","32 - 25","KO: 26 Aug 2017 19:45","Bordeaux BeglesMinutes PlayedTacklesMissed TacklesTurnovers Won1. Sebastien Taofifenua504002. Adrien Pelissie726003. Vadim Cobilas5810104. Luke Jones807205. Jandré Marais804006. Mahamadou Diaby8010007. Hugh Chalmers606008. Leroy Houston556109. Yann Lesgourgues8020010. Simon Hickey6832011. Jean-Baptiste Dubie8041112. Julien Rey8051013. Apisai Naqalevu8033014. Fa'asiu Fuatai8023015. Darly Domvo8020016. Florian Dufour810117. Peni Ravai3050018. Cyril Cazeaux2030019. Marco Tauleigne2540020. Gauthier Doubrere000021. Tiaan Schoeman1210022. Jean Pascal Barraque020023. Jean-Baptiste Poux22200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=203&match=318013","Montpellier","Agen","48 - 19","KO: 26 Aug 2017 17:00","MontpellierMinutes PlayedTacklesMissed TacklesTurnovers Won1. Gregory Fichten 567102. Bismarck Du Plessis 568103. Antoine Guillamon 658004. Konstantin Mikautadze 5711005. Paul Willemse 8011016. Fulgence Ouedraogo 8025117. Wian Liebenberg 8019018. Martin Devergie 579319. Benoit Paillaugue 2010010. Aaron Cruden 80142211. Nemani Nadolo 8013012. Francois Steyn 8071013. Alexandre Dumoulin 5350014. Joseph Tomane 8062015. Benjamin Fall 5301016. Romain Ruffenach 2491017. Yvan Watremez 2422018. Nicolaas Janse van Rensburg 23100019. Kevin Kornath 2370020. Ruan Pienaar 6020021. Yvan Reilhac 2700022. Henry Immelman 2720023. Mohammed Haouas 15501"
