Match,Match-href,Home,Away,Score,player
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23165","Cardiff Blues","Lyon","29 - 19","Cardiff BluesMinutes PlayedTacklesMissed TacklesTurnovers Won1. Corey Domachowski 8010112. Matthew Rees 403103. Dillon Lewis 495014. George Earle 274005. Seb Davies 805306. Macauley Cook 6110017. Olly Robinson 8015218. Josh Turnbull 8010429. Tomos Williams 75101010. Jarrod Evans 7142011. Blaine Scully 8020012. Garyn Smith 80101113. Reynold Lee-Lo 80130114. Alex Cuthbert 5111015. Matthew Morgan 8032116. Kristian Dacey 3051117. Bradley Thyer 1810018. Anton Peikrishvili 1840119. James Down 4790020. Josh Navidi 1950021. Lewis Jones 500022. Steve Shingler 910023. Aled Summerhill 29400"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23170","London Irish","Edinburgh","14 - 37","London IrishMinutes PlayedTacklesMissed TacklesTurnovers Won1. Harry Elrington 615102. Tom Woolstencroft 543213. Oli Hoskins 626104. William Lloyd 726105. Joshua McNally 8010026. Max Northcote-Green 8014217. Conor Gilsenan 7511508. Lasha Lomidze 5411309. Ben Meehan 5471010. Theo Brophy Clews 78132011. Topsy Ojo 7241212. Johnny Williams 80143013. Tom Fowlie 8084014. Joe Cokanasiga 8072015. Ben Ransom 8062016. Todd Gleave 2661017. Tom Smallbone 1930018. Lovejoy Chawatama 1850019. Jack Cooke 820020. Isaac Curtis-Harris 2681021. Scott Steele 2621022. Jacob Atkins 200023. Ben Loader 8110"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23164","Pau","Gloucester","27 - 21","PauMinutes PlayedTacklesMissed TacklesTurnovers Won1. Geoffrey Moise614202. Lucas Rey555103. Lourens Adriaanse615104. Dave Foley697005. Masalosalo Tutaia758006. Daniel Ramsay552207. Ben Mowen803218. Paddy Butler8011109. Thibault Daubagna8080010. Colin Slade5490011. Bastien Pourailly6840012. Benson Stanley2811013. Julien Fumat80120014. Frank Halai8073015. Romain Buros8060116. Laurent Bouchet2840017. Jeremy Hurou2222018. Malik Hamadache2240019. Fabrice Metz2231020. Sean Dougall2830021. Clovis Lebail1500022. Brandon Fajardo2940023. Florian Nicot55610"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23177","Toulouse","Cardiff Blues","15 - 17","ToulouseMinutes PlayedTacklesMissed TacklesTurnovers Won1. Rodrigue Neti 403002. Leonardo Ghiraldini 654103. Dorian Aldegheri 403104. Piula Faasalele 809125. Yoann Maestri 747016. Semi Kunatani 8016007. François Cros 8014008. Gillian Galan 515009. Antoine Dupont 8031110. Jean-Marc Doussain 720011. Wandie Mjekevu 8070012. Gael Fickou 6360013. Jarrod Poi 8054014. Sofiane Guitoune 8030015. Maxime Medard 8011016. David Roumieu 1530017. Clement Castets 4040018. Maks van Dyk 4081019. Florian Verhaeghe 610020. Rynhard Elstadt 1920121. Sébastien Bézy 000022. Romain Ntamack 73110123. Lucas Tauzin 17100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23182","RC Enisei","Dragons","21 - 28","RC EniseiMinutes PlayedTacklesMissed TacklesTurnovers Won1. Andrei Polivalov609202. Stanislav Selskiy689313. Innokentiy Zykov7411304. Uldis Saulite806205. Viacheslav Krasylnyk483006. Mikheil Gachechiladze8014027. Maxim Gargalic7013118. Anton Rudoy808009. Alexey Shcherban8041010. Yury Kushnarev8054011. Igor Kurashov4842112. Dmitrii Gerasimov80145113. Davit Kacharava8062014. Jurijs Baranovs8031015. Ramil Gaisin8022016. Nazir Gasanov1220017. Valery Morozov2020018. Vladimir Podrezov600019. Evgeny Elgin3250020. Aleksandr Budychenko3211021. Konstantin Uzunov000022. Sergey Trishin000023. Vitalii Orlov10200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23176","Lyon","Sale","27 - 24","LyonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Alexandre Menini 451002. Virgile Lacombe 521103. Guram Papidze 614004. Felix Lambey 803205. Etienne Oosthuizen 594026. Julien Puricelli 804107. Liam Gill 808038. Taiasina Tuifua 674009. Jonathan Pelissie 7020010. Lionel Beauxis 6530011. Alexis Palisson 6122012. Adrien Seguret 5741013. Theo Belan 8021014. Jone Tuva 8040015. Delon Armitage 8031016. Deon Fourie 2812117. Tornike Mataradze 3501018. Hamza Kaabeche 1920119. Hendrik Roodt 2110020. Virgile Bruni 1310021. Thibault Regard 1910022. Rudi Wulf 2320023. Frederic Michalak 26110"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23179","Connacht","Worcester","15 - 8","ConnachtMinutes PlayedTacklesMissed TacklesTurnovers Won1. Denis Buckley 7213212. Dave Heffernan 5411033. Dominic Robertson-McCoy 429204. Quinn Roux 4811005. James Cannon 8020206. Eoin McKeon 8015007. James Connolly 784008. Eoghan Masterson 8012219. Caolin Blade 5450010. Jack Carty 80116111. Matt Healy 8060012. Eoin Griffin 2051113. Bundee Aki 8050214. Darragh Leader 8010015. Tiernan O'Halloran 5510016. Shane Delahunt 2630017. Peter McCabe 800018. Conor Carey 3840019. Cillian Gallagher 3220020. Jarrad Butler 2160121. Kieran Marmion 2620022. Craig Ronaldson 6040023. Cian Kelleher 25000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23166","Agen","Zebre","45 - 10","AgenMinutes PlayedTacklesMissed TacklesTurnovers Won1. Kamaliele Tufele6612102. Paula Ngauamo506103. Vakhtangi Akhobadze669004. Denis Marchois5510005. Corentin Braendlin808106. Yoan Tanga8013017. Marco Kotze463108. Antoine Miquel8013009. Hugo Verdu6682210. Mathieu Lamoulie8062011. Nicolas Metge4030212. Pierre Fouyssac8082113. Johann Sadie6382014. Lucas Tolot8031015. Clement Laporte8010016. Clement Martinez3060017. Fernandez Correa1410018. Corentin Chabeaudie1440019. Christiaan van der Merwe2550020. Jessy Jegerlhener34180021. Florian Lanave1411022. Alban Conduche4070023. Jeremy Russell17300"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23172","Oyonnax","Connacht","15 - 43","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1. Giorgi Vepkhvadze 448002. Benjamin Geledan 517013. Irakli Mirtskhulava 326004. Geoffrey Fabbri 809105. Christian Njewel 5110016. Bilel Taieb 809207. Valentin Ursache 619208. Maurie Fa'asavalu 719109. Julien Audy 8013010. Christopher Ruiz 2121011. Axel Muler 8040012. Roimata Hansell-Pune 6954013. Ulupano Seuteni 8034014. Tim Giresse 8031015. Silvere Tian 5720016. Guilhem Bourgois 2931117. Vincent Debaty 3610018. Thomas Laclayat 4810019. Shay Kerry 3830020. Mickael Romera 1110021. Anthony Fuertes 5923022. Jeremy Scalese 2320023. Romain Gauthier 19200"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=243&match=23183","Krasny Yar","Edinburgh","14 - 73","Krasny YarMinutes PlayedTacklesMissed TacklesTurnovers Won1. Sione Fukofuka 508102. Jaba Bregvadze 5413003. Azamat Bitiev 506504. Andrei Mahu 8010305. Andrey Garbuzov 578206. Victor Gresev 808107. Viktor Arhip 806318. Alexander Ilin 5810309. Vasilii Dorofeev 4723010. Fangatapu Apikotoa 6664011. Vladimir Chaban 7533012. Lasha Malaguradze 70126113. Igor Galinovskiy 80102014. Rushan Iagudin 8042015. Vasily Artemyev 7054016. Andrei Kondakov 2632017. Grigory Tsnobiladze 3040218. Mikheil Tsiklauri 3013019. Egor Zykov 1340020. Alexander Khudyakov 2240021. Anton Ryabov 000022. Evgeni Kolomiytsev 3320023. Kirill Golosnitskiy 14510"
