Match,Match-href,Home,Away,Score,Date/Time,element
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218202","Glasgow Warriors","Leinster","18 - 34","KO: 21 Oct 2017 13:00","Glasgow WarriorsMinutes PlayedTacklesMissed TacklesTurnovers Won1. Jamie Bhattie 607002. George Turner 7010203. Zander Fagerson 7810104. Tim Swinson 7315025. Jonny Gray 8019006. Ryan Wilson 110007. Callum Gibbins 7414128. Adam Ashe 6110109. Ali Price 6431010. Finn Russell 8063011. Leonardo Sarto 6040112. Peter Horne 7462013. Sam Johnson 7330014. Tommy Seymour 8010015. Stuart Hogg 8021016. Pat MacArthur 1631017. Alex Allan 2020018. D'arcy Rae 200019. Scott Cummings 2630020. Rob Harley 6970121. Henry Pyrgos 1602022. Nick Grigg 1310023. Lee Jones 20100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218209","La Rochelle","Ulster","41 - 17","KO: 22 Oct 2017 15:15","La RochelleMinutes PlayedTacklesMissed TacklesTurnovers Won1. Dany Priso528012. Hikairo Forbes647103. Uini Atonio565004. Jason Eaton679205. Jone Qovu Nailiko676006. Levani Botia8010327. Kevin Gourdon8013008. Victor Vito809019. Alexis Bales6070110. Ryan Lamb800011. Jeremy Sinzelle6790012. Pierre Aguillon80122013. Geoffrey Doumayrou80141214. Gabriel Lacroix8040015. Vincent Rattez8000016. Pierre Bourgarit1650017. Mike Corbel2860018. Vincent Pelo2400019. William Demotte1320020. Romain Sazy1330021. Jean Victor Goillot2010122. Paul Jordaan7271223. Elliot Roudil13211"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218207","Saracens","Ospreys","36 - 34","KO: 21 Oct 2017 19:45","SaracensMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mako Vunipola 6610102. Schalk Brits 467203. Juan Figallo 497104. Nick Isiekwe 737005. George Kruis 8012206. Maro Itoje 809117. Calum Clark 567008. Jackson Wray 8010019. Richard Wigglesworth 6230010. Owen Farrell 7747011. Chris Wyles 8040012. Brad Barritt 8064013. Duncan Taylor 3331014. Liam Williams 8000015. Alex Goode 8004016. Jamie George 3471017. Richard Barrington 1440018. Vincent Koch 3151019. Will Skelton 700020. Schalk Burger 2450021. Ben Spencer 1831222. Alex Lozowski 300023. Nick Tompkins 47521"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218110","Northampton","Saracens","13 - 57","KO: 15 Oct 2017 17:30","NorthamptonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Alex Waller6513102. Dylan Hartley579103. Kieran Brookes518204. Michael Paterson5410005. David Ribbans386106. Courtney Lawes8016007. Jamie Gibson8015108. Teimana Harrison8012219. Jacobus Reinach4852010. Stephen Myler5953011. Ben Foden8092012. Piers Francis80121013. Luther Burrell8062014. George North2840015. Ahsee Tuala8033016. Mike Haywood2331017. Francois van Wyk1500018. Jamal Ford-Robinson2921019. Api Ratuniyarawa2640020. Tom Wood3210021. Nic Groom3211122. Harry Mallinder2101023. Tom Collins52300"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218206","Leicester","Castres","54 - 29","KO: 21 Oct 2017 17:30","LeicesterMinutes PlayedTacklesMissed TacklesTurnovers Won1. Ellis Genge 629102. Tom Youngs 4810203. Dan Cole 482104. Dom Barrow 8015115. Graham Kitchener 575006. Valentino Mapapalangi 7012507. Luke Hamilton 8019228. Sione Kalamafoni 487119. Ben Youngs 7372010. George Ford 8040011. Jonny May 8030012. Matt Toomua 4021013. Gareth Owen 1920114. Nick Malouf 8060015. Telusa Veainu 8032016. George McGuigan 32102117. Greg Bateman 1880018. Patrick Cilliers 3292019. Dan Tuohy 2382020. Brendon O'Connor 3270021. Sam Harrison 721022. Joe Ford 4031023. Mathew Tait 61630"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218102","Leinster","Montpellier","24 - 17","KO: 14 Oct 2017 13:00","LeinsterMinutes PlayedTacklesMissed TacklesTurnovers Won1. Jack McGrath 4610102. James Tracy 468103. Tadhg Furlong 638004. Devin Toner 8014005. James Ryan 6315016. Rhys Ruddock 8011317. Josh van der Flier 7119118. Jack Conan 7221109. Luke McGrath 6372010. Ross Byrne 80144111. Barry Daly 7883012. Isa Nacewa 3530013. Robbie Henshaw 80114314. Adam Byrne 7435015. Joey Carbery 8002016. Sean Cronin 3411017. Cian Healy 3460018. Michael Bent 1720019. Ross Molony 1720020. Jordi Murphy 1710021. Jamison Gibson-Park 1710022. Noel Reid 45136123. Fergus McFadden 2000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218107","Castres","Munster","17 - 17","KO: 15 Oct 2017 13:00","CastresMinutes PlayedTacklesMissed TacklesTurnovers Won1. Antoine Tichit 7014002. Jody Jenneker 805103. Daniel Kotze 738104. Loic Jacquet 546205. Rodrigo Capo Ortega 808006. Yannick Caballero 808317. Steve Mafi 803118. Maama Vaipulu 6316029. Rory Kockott 8081110. Benjamin Urdapilleta 8093011. David Smith 7421012. Robert Ebersohn 7080013. Afusipa Taumoepeau 8043014. Taylor Paris 8051015. Julien Dumora 6300016. Marc-Antoine Rallier 000017. Mihaita Lazar 1010018. Damien Tussac 700019. Christophe Samson 1741020. Anthony Jelonch 2651021. Armand Batlle 1710022. Florian Vialelle 600023. Ludovic Radosavljevic 0000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218103","Racing 92","Leicester","22 - 18","KO: 14 Oct 2017 15:15","Racing 92Minutes PlayedTacklesMissed TacklesTurnovers Won1. Viliamu Afatia 472302. Dimitri Szarzewski 476013. Census Johnston 403014. Bernard Le Roux 7612205. Leone Nakarawa 804116. Wenceslas Lauret 8011117. Baptiste Chouzenoux 583008. Yannick Nyanga 804119. Teddy Iribaren 5360010. Remi Tales 73130011. Joe Rokocoko 8041012. Henry Chavancy 8051013. Virimi Vakatawa 7050214. Teddy Thomas 8070115. Juan Imhoff 510016. Camille Chat 3380117. Eddy Ben Arous 3370118. Cedate Gomes Sa 4031019. Manuel Carizza 2220020. Edwin Maka 400021. Maxime Machenaud 2711022. Patrick Lambie 7570123. Anthony Tuitavake 7000"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218108","Toulon","Scarlets","21 - 20","KO: 15 Oct 2017 15:15","ToulonMinutes PlayedTacklesMissed TacklesTurnovers Won1. Florian Fresia807012. Guilhem Guirado5811113. Marcel Van der Merwe495214. Swan Rebbadj807305. Mamuka Gorgodze809206. Juan Martin Fernandez Lobbe634017. Facundo Isa804208. Raphael Lakafia515109. Eric Escande3020110. Anthony Belleau5330011. Chris Ashton8000012. Ma'a Nonu8041313. Mathieu Bastareaud8033014. Josua Tuisova8040015. Hugo Bonneval5810016. Anthony Etrillard2231117. Laurent DelBoulbes000018. Levan Chilachava3110019. Rudy Gahetau2940020. Francois Trinh-Duc2700021. Semi Radradra1200022. Sebastien Tillous-Borde5053023. Juandre Kruger17500"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218101","Ulster","Wasps","19 - 9","KO: 13 Oct 2017 19:45","UlsterMinutes PlayedTacklesMissed TacklesTurnovers Won1. Kyle McCall808102. Rob Herring8014003. Wiehahn Herbst643004. Kieran Treadwell807015. Iain Henderson809016. Robbie Diack809307. Sean Reidy8012108. Jean Deysel643029. John Cooney6440010. Christian Lealiifano8080111. Jacob Stockdale8011012. Stuart McCloskey8091013. Luke Marshall6860014. Louis Ludik8063115. Charles Piutau8001016. John Andrew000017. Callum Black000018. Rodney Ah You1621019. Matthew Rea000020. Clive Ross1630021. Paul Marshall1600022. Peter Nelson000023. Tommy Bowe12100"
"Match page >","http://opta.mc.cloud.opta.net/sportscentre/index.html?page=match&mc=RugbyProPortal&season=2018&competition=242&match=218208","Montpellier","Exeter","24 - 27","KO: 22 Oct 2017 13:00","MontpellierMinutes PlayedTacklesMissed TacklesTurnovers Won1. Mikheil Nariashvili 649002. Romain Ruffenach 688203. Antoine Guillamon 6410014. Jacques Du Plessis 8011005. Nicolaas Janse van Rensburg 8013306. Kelian Galletier 8013407. Yacouba Camara 7012118. Louis Picamoles 6510209. Ruan Pienaar 2000010. Benoit Paillaugue 80132011. Nemani Nadolo 8031112. Francois Steyn 80131113. Joseph Tomane 8032114. Benjamin Fall 5141215. Jesse Mogg 6022016. Charles Geli 1250117. Gregory Fichten 1620018. Davit Kubriashvili 1621219. Julien Delannoy 1000020. Wian Liebenberg 1530021. Enzo Sanga 6071022. Timoci Nagusa 2940123. Joffrey Michel 10000"
