"","Krasny YarMinutes PlayedTacklesMissed TacklesTurnovers Won1","SaleMinutes PlayedTacklesMissed TacklesTurnovers Won1","BriveMinutes PlayedTacklesMissed TacklesTurnovers Won1","GloucesterMinutes PlayedTacklesMissed TacklesTurnovers Won1","WorcesterMinutes PlayedTacklesMissed TacklesTurnovers Won1","Stade FrancaisMinutes PlayedTacklesMissed TacklesTurnovers Won1","NewcastleMinutes PlayedTacklesMissed TacklesTurnovers Won1","RC EniseiMinutes PlayedTacklesMissed TacklesTurnovers Won1","ZebreMinutes PlayedTacklesMissed TacklesTurnovers Won1","Bordeaux BeglesMinutes PlayedTacklesMissed TacklesTurnovers Won1","Cardiff BluesMinutes PlayedTacklesMissed TacklesTurnovers Won1","London IrishMinutes PlayedTacklesMissed TacklesTurnovers Won1","PauMinutes PlayedTacklesMissed TacklesTurnovers Won1","ToulouseMinutes PlayedTacklesMissed TacklesTurnovers Won1","RC EniseiMinutes PlayedTacklesMissed TacklesTurnovers Won1","LyonMinutes PlayedTacklesMissed TacklesTurnovers Won1","ConnachtMinutes PlayedTacklesMissed TacklesTurnovers Won1","AgenMinutes PlayedTacklesMissed TacklesTurnovers Won1","OyonnaxMinutes PlayedTacklesMissed TacklesTurnovers Won1","Krasny YarMinutes PlayedTacklesMissed TacklesTurnovers Won1"
"12"," Vladimir Chaban 8021112"," Josh Charnley 8074112"," Franck Romanet8085012"," David Halaifonua 8010012"," Perry Humphreys 8030012"," Jimmy Yobo 7950012"," Adam Radwan8030012"," Denis Simplikevich5732112"," Giovanbattista Venditti 8060112"," Jean-Baptiste Dubie 7010012"," Blaine Scully 8020012"," Topsy Ojo 7241212"," Bastien Pourailly6840012"," Wandie Mjekevu 8070012"," Igor Kurashov4842112"," Alexis Palisson 6122012"," Matt Healy 8060012"," Nicolas Metge4030212"," Axel Muler 8040012"," Vladimir Chaban 7533012"
"13"," Lasha Malaguradze 80146113"," Mark Jennings 8043013"," Benjamin Petre7274013"," Owen Williams 8020013"," Ben Te'o 300013"," Jonathan Danty 7072213"," Toby Flood8061013"," Dmitrii Gerasimov8054013"," Tommaso Castello 74100113"," Apisai Naqalevu 5653113"," Garyn Smith 80101113"," Johnny Williams 80143013"," Benson Stanley2811013"," Gael Fickou 6360013"," Dmitrii Gerasimov80145113"," Adrien Seguret 5741013"," Eoin Griffin 2051113"," Pierre Fouyssac8082113"," Roimata Hansell-Pune 6954013"," Lasha Malaguradze 70126113"
"14"," Giorgi Pruidze 8081114"," Sam James 8071014"," Felix Le Bourhis8091114"," Henry Trinder 7031014"," Wynand Olivier 8030114"," Paul Williams 8080014"," Maxime Mermoz8060014"," Davit Kacharava80102014"," Tommaso Boni 80112114"," Pablo Uberti 8061014"," Reynold Lee-Lo 80130114"," Tom Fowlie 8084014"," Julien Fumat80120014"," Jarrod Poi 8054014"," Davit Kacharava8062014"," Theo Belan 8021014"," Bundee Aki 8050214"," Johann Sadie6382014"," Ulupano Seuteni 8034014"," Igor Galinovskiy 80102014"
"15"," Igor Galinovskiy 80103315"," Denny Solomona 8023015"," Benito Masilevu8001015"," Henry Purdy 8011015"," Tom Howe 8041115"," Waisea Nayacalevu 8032015"," Alex Tait8010015"," Jurijs Baranovs8083115"," Giulio Bisegni 3710015"," Nans Ducuing 8001015"," Alex Cuthbert 5111015"," Joe Cokanasiga 8072015"," Frank Halai8073015"," Sofiane Guitoune 8030015"," Jurijs Baranovs8031015"," Jone Tuva 8040015"," Darragh Leader 8010015"," Lucas Tolot8031015"," Tim Giresse 8031015"," Rushan Iagudin 8042015"
"16"," Vasily Artemyev 8054016"," Mike Haley 8031016"," Gaetan Germain5810016"," Jason Woodward 5120016"," Chris Pennell 8021116"," Shane Geraghty 5120016"," Simon Hammersley5620016"," Ramil Gaisin8021016"," Ciaran Gaffney 8020016"," Matthieu Jalibert 7040016"," Matthew Morgan 8032116"," Ben Ransom 8062016"," Romain Buros8060116"," Maxime Medard 8011016"," Ramil Gaisin8022016"," Delon Armitage 8031016"," Tiernan O'Halloran 5510016"," Clement Laporte8010016"," Silvere Tian 5720016"," Vasily Artemyev 7054016"
"17"," Jaba Bregvadze 2011017"," Marc Jones 2460017"," Mike Tadjer2950017"," Richard Hibbard 3420017"," Jack Singleton 200017"," Maxime Gau 1870017"," Jamie Blamire000017"," Shamil Magomendov1812017"," Luhandre Luus 2240017"," Ole Avei 2740017"," Kristian Dacey 3051117"," Todd Gleave 2661017"," Laurent Bouchet2840017"," David Roumieu 1530017"," Nazir Gasanov1220017"," Deon Fourie 2812117"," Shane Delahunt 2630017"," Clement Martinez3060017"," Guilhem Bourgois 2931117"," Andrei Kondakov 2632017"
"18"," Grigory Tsnobiladze 1641018"," James Flynn 000018"," Julien Brugnaut2950018"," Cameron Orr 2421118"," Ryan Bower 1650018"," Zurabi Zhvania 2981018"," Adam Brocklebank000018"," Valery Morozov1800018"," Andrea De Marchi 2640018"," Thierry Paiva 27100018"," Bradley Thyer 1810018"," Tom Smallbone 1930018"," Jeremy Hurou2222018"," Clement Castets 4040018"," Valery Morozov2020018"," Tornike Mataradze 3501018"," Peter McCabe 800018"," Fernandez Correa1410018"," Vincent Debaty 3610018"," Grigory Tsnobiladze 3040218"
"19"," Mikheil Tsiklauri 2112019"," Will John 2620119"," Soso Bekoshvili2942119"," John Afoa 2730019"," Biyi Alo 2830019"," Lorenzo Cittadini 1060019"," Scott Wilson2541019"," Evgeny Pronenko1830019"," Roberto Tenga 820019"," Marc Clerc 2790019"," Anton Peikrishvili 1840119"," Lovejoy Chawatama 1850019"," Malik Hamadache2240019"," Maks van Dyk 4081019"," Vladimir Podrezov600019"," Hamza Kaabeche 1920119"," Conor Carey 3840019"," Corentin Chabeaudie1440019"," Thomas Laclayat 4810019"," Mikheil Tsiklauri 3013019"
"20"," Alexander Ilin 310020"," George Nott 220020"," James Johnston2400120"," Freddie Clarke 1810020"," Darren Barry 3490020"," Mathieu De Giovanni 3670020"," Glen Young000020"," Anton Rudoy1210020"," Leonard Krumov 5070120"," Johan Aliouat 2141020"," James Down 4790020"," Jack Cooke 820020"," Fabrice Metz2231020"," Florian Verhaeghe 610020"," Evgeny Elgin3250020"," Hendrik Roodt 2110020"," Cillian Gallagher 3220020"," Christiaan van der Merwe2550020"," Shay Kerry 3830020"," Egor Zykov 1340020"
"21"," Alexander Khudyakov 4361021"," Laurence Pearce 40110021"," Dominiko Waqaniburotu4062021"," Jacob Rowan 3241221"," Matt Williams 1651021"," Charlie Francoz 2541021"," Will Welch000021"," Aleksandr Budychenko000021"," Jacopo Sarto 4250021"," Cameron Woki 2140021"," Josh Navidi 1950021"," Isaac Curtis-Harris 2681021"," Sean Dougall2830021"," Rynhard Elstadt 1920121"," Aleksandr Budychenko3211021"," Virgile Bruni 1310021"," Jarrad Butler 2160121"," Jessy Jegerlhener34180021"," Mickael Romera 1110021"," Alexander Khudyakov 2240021"
"22"," Rushan Iagudin 2120022"," David Seymour 000022"," Samuel Marques801022"," Willi Heinz 2110022"," Michael Dowsett 000022"," Arthur Coville 2903022"," Ruaridh Dawson000022"," Konstantin Uzunov520022"," Guglielmo Palazzani 000022"," Jules Gimbert 600022"," Lewis Jones 500022"," Scott Steele 2621022"," Clovis Lebail1500022"," Sébastien Bézy 000022"," Konstantin Uzunov000022"," Thibault Regard 1910022"," Kieran Marmion 2620022"," Florian Lanave1411022"," Anthony Fuertes 5923022"," Anton Ryabov 000022"
"23"," Evgeni Kolomiytsev 000023"," Will Cliff 000023"," Arnaud Mignardi1520023"," Billy Twelvetrees 2910023"," Jono Lance 7751123"," Morne Steyn 2930023"," Cameron Cowell000023"," Aleksei Mikhaltsov2311023"," Faialaga Afamasaga 600023"," Tiaan Schoeman 1600023"," Steve Shingler 910023"," Jacob Atkins 200023"," Brandon Fajardo2940023"," Romain Ntamack 73110123"," Sergey Trishin000023"," Rudi Wulf 2320023"," Craig Ronaldson 6040023"," Alban Conduche4070023"," Jeremy Scalese 2320023"," Evgeni Kolomiytsev 3320023"
"24"," Kirill Golosnitskiy 30711"," Arron Reed 0000"," Benjamin Lapeyre22200"," Callum Braley 10100"," Dean Hammond 0000"," Tony Ensor 29200"," Chris Harris24300"," Evgeny Elgin30200"," Gabriele Di Giulio 33300"," Metuisela Talebula 24000"," Aled Summerhill 29400"," Ben Loader 8110"," Florian Nicot55610"," Lucas Tauzin 17100"," Vitalii Orlov10200"," Frederic Michalak 26110"," Cian Kelleher 25000"," Jeremy Russell17300"," Romain Gauthier 19200"," Kirill Golosnitskiy 14510"
